iter	Passed	Remaining
1136	26525	66791
1137	26547	66765
1138	26572	66746
1139	26597	66727
1140	26617	66695
1141	26639	66668
1142	26662	66645
1143	26683	66614
1144	26704	66587
1145	26728	66565
1146	26751	66541
1147	26775	66519
1148	26825	66561
1149	26846	66532
1150	26872	66515
1151	26894	66490
1152	26915	66461
1153	26939	66437
1154	26961	66412
1155	26983	66385
1156	27008	66365
1157	27034	66347
1158	27067	66348
1159	27091	66328
1160	27122	66324
1161	27149	66307
1162	27175	66292
1163	27200	66272
1164	27220	66241
1165	27243	66216
1166	27270	66202
1167	27293	66177
1168	27317	66155
1169	27344	66141
1170	27371	66125
1171	27398	66111
1172	27421	66087
1173	27441	66055
1174	27465	66033
1175	27500	66039
1176	27529	66028
1177	27551	66003
1178	27574	65977
1179	27599	65957
1180	27622	65932
1181	27663	65952
1182	27687	65931
1183	27711	65908
1184	27735	65887
1185	27756	65856
1186	27775	65823
1187	27799	65801
1188	27822	65776
1189	27844	65749
1190	27866	65724
1191	27888	65696
1192	27911	65673
1193	27938	65657
1194	27962	65635
1195	27988	65618
1196	28015	65603
1197	28040	65584
1198	28065	65564
1199	28088	65540
1200	28124	65545
1201	28155	65540
1202	28177	65513
1203	28201	65492
1204	28224	65466
1205	28245	65437
1206	28270	65418
1207	28296	65400
1208	28320	65377
1209	28348	65365
1210	28374	65348
1211	28399	65327
1212	28422	65304
1213	28443	65275
1214	28465	65248
1215	28486	65217
1216	28508	65192
1217	28526	65156
1218	28550	65135
1219	28571	65105
1220	28593	65078
1221	28617	65057
1222	28640	65033
1223	28660	65001
1224	28684	64980
1225	28704	64947
1226	28725	64919
1227	28750	64900
1228	28772	64872
1229	28793	64844
1230	28818	64823
1231	28839	64794
1232	28861	64767
1233	28885	64747
1234	28904	64713
1235	28925	64685
1236	28951	64667
1237	28973	64640
1238	28997	64617
1239	29029	64614
1240	29050	64586
1241	29072	64557
1242	29093	64530
1243	29111	64494
1244	29132	64466
1245	29157	64446
1246	29178	64417
1247	29198	64386
1248	29222	64363
1249	29241	64330
1250	29261	64301
1251	29286	64280
1252	29308	64253
1253	29328	64223
1254	29352	64201
1255	29372	64169
1256	29394	64144
1257	29419	64123
1258	29441	64096
1259	29463	64071
1260	29501	64079
1261	29526	64060
1262	29550	64038
1263	29572	64011
1264	29594	63984
1265	29618	63962
1266	29637	63930
1267	29659	63904
1268	29684	63883
1269	29705	63855
1270	29723	63819
1271	29745	63793
1272	29766	63765
1273	29784	63729
1274	29807	63705
1275	29826	63673
1276	29848	63648
1277	29872	63624
1278	29896	63603
1279	29919	63579
1280	29944	63558
1281	29963	63526
1282	29985	63500
1283	30011	63482
1284	30034	63457
1285	30054	63427
1286	30078	63404
1287	30100	63378
1288	30121	63351
1289	30153	63346
1290	30175	63319
1291	30196	63290
1292	30222	63272
1293	30243	63245
1294	30265	63218
1295	30288	63194
1296	30310	63168
1297	30331	63139
1298	30355	63118
1299	30376	63089
1300	30397	63062
1301	30421	63040
1302	30444	63015
1303	30466	62990
1304	30493	62973
1305	30514	62944
1306	30534	62915
1307	30558	62892
1308	30579	62865
1309	30604	62844
1310	30634	62833
1311	30654	62804
1312	30677	62779
1313	30699	62753
1314	30720	62726
1315	30743	62702
1316	30771	62687
1317	30798	62672
1318	30827	62659
1319	30851	62637
1320	30876	62618
1321	30900	62595
1322	30923	62571
1323	30955	62565
1324	30980	62546
1325	31003	62521
1326	31029	62503
1327	31051	62477
1328	31074	62452
1329	31096	62426
1330	31118	62400
1331	31139	62372
1332	31164	62351
1333	31185	62323
1334	31204	62291
1335	31228	62270
1336	31249	62242
1337	31270	62214
1338	31295	62192
1339	31312	62158
1340	31333	62130
1341	31357	62106
1342	31379	62081
1343	31401	62055
1344	31425	62032
1345	31451	62014
1346	31486	62013
1347	31518	62007
1348	31539	61981
1349	31566	61962
1350	31589	61939
1351	31613	61916
1352	31634	61889
1353	31655	61862
1354	31693	61866
1355	31715	61840
1356	31736	61812
1357	31761	61791
1358	31783	61765
1359	31824	61776
1360	31855	61768
1361	31891	61769
1362	31924	61763
1363	31958	61761
1364	31992	61758
1365	32036	61774
1366	32064	61760
1367	32095	61751
1368	32122	61733
1369	32146	61711
1370	32186	61720
1371	32208	61694
1372	32235	61677
1373	32260	61656
1374	32283	61632
1375	32311	61617
1376	32334	61592
1377	32357	61569
1378	32381	61545
1379	32405	61522
1380	32435	61511
1381	32458	61487
1382	32480	61461
1383	32506	61442
1384	32529	61417
1385	32551	61392
1386	32576	61371
1387	32599	61346
1388	32621	61321
1389	32644	61296
1390	32664	61266
1391	32684	61235
1392	32709	61215
1393	32734	61195
1394	32783	61218
1395	32808	61197
1396	32835	61180
1397	32858	61156
1398	32885	61139
1399	32911	61122
1400	32938	61104
1401	32962	61082
1402	32983	61053
1403	33005	61027
1404	33028	61003
1405	33062	60999
1406	33082	60968
1407	33107	60947
1408	33130	60923
1409	33154	60900
1410	33180	60882
1411	33203	60857
1412	33230	60840
1413	33255	60820
1414	33280	60798
1415	33313	60792
1416	33342	60778
1417	33367	60758
1418	33397	60745
1419	33426	60732
1420	33460	60728
1421	33486	60709
1422	33524	60711
1423	33548	60688
1424	33572	60666
1425	33609	60667
1426	33632	60642
1427	33651	60610
1428	33675	60586
1429	33697	60561
1430	33723	60542
1431	33746	60517
1432	33773	60499
1433	33795	60474
1434	33817	60446
1435	33842	60426
1436	33864	60400
1437	33888	60376
1438	33914	60358
1439	33945	60347
1440	33970	60326
1441	33993	60301
1442	34015	60275
1443	34041	60256
1444	34064	60232
1445	34086	60205
1446	34114	60188
1447	34137	60165
1448	34161	60142
1449	34186	60120
1450	34207	60093
1451	34231	60069
1452	34252	60042
1453	34275	60017
1454	34299	59994
1455	34322	59970
1456	34345	59945
1457	34364	59913
1458	34387	59889
1459	34410	59865
1460	34434	59842
1461	34457	59818
1462	34476	59785
1463	34497	59758
1464	34520	59733
1465	34547	59716
1466	34574	59698
1467	34604	59684
1468	34650	59700
1469	34677	59682
1470	34700	59659
1471	34722	59631
1472	34743	59604
1473	34768	59583
1474	34791	59558
1475	34822	59548
1476	34853	59536
1477	34870	59501
1478	34891	59473
